Rozmiar   Gestosc   Czas 
10   50   0.007961
10   50   0.007765
10   50   0.008114
10   50   0.008171
10   50   0.007974
10   50   0.00767
10   50   0.007679
10   50   0.007752
10   50   0.007833
10   50   0.008251
10   50   0.006894
10   50   0.008066
10   50   0.007575
10   50   0.008228
10   50   0.008098
10   50   0.007823
10   50   0.007565
10   50   0.008108
10   50   0.007666
10   50   0.007867
10   50   0.007843
10   50   0.007466
10   50   0.007977
10   50   0.007498
10   50   0.007511
10   50   0.007574
10   50   0.007368
10   50   0.008285
10   50   0.008034
10   50   0.007667
10   50   0.008305
10   50   0.007681
10   50   0.008174
10   50   0.008164
10   50   0.008294
10   50   0.008296
10   50   0.006781
10   50   0.007862
10   50   0.008105
10   50   0.008252
10   50   0.008114
10   50   0.00787
10   50   0.007868
10   50   0.008403
10   50   0.007849
10   50   0.007945
10   50   0.007562
10   50   0.007846
10   50   0.007879
10   50   0.008193
10   50   0.007835
10   50   0.015227
10   50   0.008262
10   50   0.00758
10   50   0.007497
10   50   0.007567
10   50   0.007523
10   50   0.007616
10   50   0.007789
10   50   0.007381
10   50   0.007404
10   50   0.008188
10   50   0.007173
10   50   0.008087
10   75   0.007537
10   75   0.007762
10   75   0.00817
10   75   0.006832
10   75   0.007628
10   75   0.007908
10   75   0.007808
10   75   0.007673
10   75   0.007004
10   75   0.007423
10   75   0.007509
10   75   0.007142
10   75   0.007752
10   75   0.007491
10   75   0.007229
10   75   0.007283
10   75   0.007665
10   75   0.007432
10   75   0.39998
10   75   0.007559
10   75   0.008123
10   75   0.007277
10   75   0.007636
10   75   0.020438
10   75   0.007495
10   75   0.007706
10   75   0.007522
10   75   0.007446
10   75   0.00779
10   75   0.007686
10   75   0.00749
10   75   0.007291
10   75   0.007308
10   75   0.007628
10   75   0.007428
10   75   0.007415
10   75   0.007746
10   75   0.007063
10   75   0.00755
10   75   0.007147
10   75   0.007436
10   75   0.007301
10   75   0.007386
10   75   0.007316
10   75   0.007683
10   75   0.007487
10   75   0.007072
10   75   0.008127
10   75   0.008209
10   75   0.007524
10   75   0.007558
10   75   0.007374
10   75   0.007755
10   75   0.007227
10   75   0.006782
10   75   0.007471
10   75   0.007593
10   75   0.007263
10   75   0.007453
10   75   0.007809
10   75   0.007705
10   75   0.007726
10   75   0.007792
10   75   0.007528
10   75   0.007087
10   75   0.007497
10   75   0.007533
10   75   0.00735
10   75   0.007167
10   75   0.007387
10   75   0.007616
10   75   0.007951
10   75   0.007264
10   75   0.007311
10   75   0.007233
10   75   0.007197
10   75   0.007469
10   75   0.00724
10   75   0.007266
10   75   0.007485
10   75   0.016701
10   75   0.007205
10   75   0.007886
10   75   0.007618
10   75   0.007765
10   75   0.00795
10   75   0.006815
10   75   0.007717
10   75   0.00744
10   75   0.007887
10   75   0.007124
10   75   0.007691
10   75   0.007799
10   75   0.007691
10   75   0.007324
10   75   0.007216
10   75   0.00721
10   75   0.007648
10   75   0.007138
10   75   0.006796
10   100   0.006062
10   100   0.005672
10   100   0.005688
10   100   0.00572
10   100   0.005683
10   100   0.005676
10   100   0.005654
10   100   0.005649
10   100   0.005674
10   100   0.005692
10   100   0.005665
10   100   0.005734
10   100   0.005731
10   100   0.00576
10   100   0.005616
10   100   0.005785
10   100   0.005643
10   100   0.005636
10   100   0.005585
10   100   0.005676
10   100   0.005587
10   100   0.005612
10   100   0.005663
10   100   0.00563
10   100   0.005649
10   100   0.005663
10   100   0.005592
10   100   0.005561
10   100   0.005799
10   100   0.00566
10   100   0.00585
10   100   0.00587
10   100   0.005689
10   100   0.005595
10   100   0.005628
10   100   0.005565
10   100   0.005579
10   100   0.005615
10   100   0.005888
10   100   0.019309
10   100   0.0057
10   100   0.005665
10   100   0.005564
10   100   0.005688
10   100   0.005672
10   100   0.005729
10   100   0.005802
10   100   0.005536
10   100   0.005729
10   100   0.005538
10   100   0.00557
10   100   0.005557
10   100   0.005623
10   100   0.00555
10   100   0.005767
10   100   0.005656
10   100   0.005506
10   100   0.005601
10   100   0.005568
10   100   0.005644
10   100   0.005696
10   100   0.005741
10   100   0.005618
10   100   0.005547
10   100   0.005535
10   100   0.005658
10   100   0.005638
10   100   0.005551
10   100   0.005593
10   100   0.005636
10   100   0.005702
10   100   0.005608
10   100   0.005682
10   100   0.005547
10   100   0.005715
10   100   0.0056
10   100   0.005785
10   100   0.00556
10   100   0.00569
